---,ObjectType,Variant,Prefix,Suffix
MaterialDeferredDecal,"/Script/Engine.Material","DeferredDecal","M_","_Decal"
MaterialFunction,"/Script/Engine.MaterialFunction","","MF_",""
MaterialInstanceConstant,"/Script/Engine.MaterialInstanceConstant","","MI_",""
MaterialInstanceConstantDeferredDecal,"/Script/Engine.MaterialInstanceConstant","DeferredDecal","MI_","_Decal"
MaterialInstanceConstantLightFunction,"/Script/Engine.MaterialInstanceConstant","LightFunction","MI_","_LF"
MaterialInstanceConstantPostProcess,"/Script/Engine.MaterialInstanceConstant","PostProcess","MI_","_PP"
MaterialInstanceConstantUserInterface,"/Script/Engine.MaterialInstanceConstant","UserInterface","MI_","_UI"
MaterialInstanceConstantVolume,"/Script/Engine.MaterialInstanceConstant","Volume","MI_","_Vol"
MaterialLightFunction,"/Script/Engine.Material","LightFunction","M_","_LF"
MaterialParameterCollection,"/Script/Engine.MaterialParameterCollection","","MPC_",""
MaterialPostProcess,"/Script/Engine.Material","PostProcess","M_","_PP"
MaterialUserInterface,"/Script/Engine.Material","UserInterface","M_","_UI"
MaterialVolume,"/Script/Engine.Material","Volume","M_","_Vol"
MediaPlayer,"/Script/MediaAssets.MediaPlayer","","MP_",""
MediaTexture,"/Script/MediaAssets.MediaTexture","","MT_",""
MorphTarget,"/Script/Engine.MorphTarget","","MT_",""
NiagaraDynamicInputScript,"/Script/NiagaraEditor.NiagaraDynamicInputScriptFactory","","NDIS_",""
NiagaraEffectType,"/Script/Niagara.NiagaraEffectType","","NET_",""
NiagaraEmitter,"/Script/Niagara.NiagaraEmitter","","NE_",""
NiagaraFunctionScript,"/Script/NiagaraEditor.NiagaraFunctionScriptFactory","","NFS_",""
NiagaraParameterCollection,"/Script/Niagara.NiagaraParameterCollection","","NPC_",""
NiagaraParameterCollectionInstance,"/Script/Niagara.NiagaraParameterCollectionInstance","","NPCI_",""
NiagaraSystem,"/Script/Niagara.NiagaraSystem","","NS_",""
ObjectLibrary,"/Script/Engine.ObjectLibrary","","OL_",""
ObjectRedirector,"/Script/CoreUObject.ObjectRedirector","","",""
PaperFlipbook,"/Script/Paper2D.PaperFlipbook","","PFB_",""
ParticleSystem,"/Script/Engine.ParticleSystem","","PS_",""
PhysicalMaterial,"/Script/PhysicsCore.PhysicalMaterial","","PM_",""
PhysicsAsset,"/Script/Engine.PhysicsAsset","","PHYS_",""
PoseAsset,"/Script/Engine.PoseAsset","","PA_",""
ReverbEffect,"/Script/Engine.ReverbEffect","","Reverb_",""
Rig,"/Script/Engine.Rig","","Rig_",""
Service,"/Script/AIModule.BTService","","BTS_",""
SkeletalMesh,"/Script/Engine.SkeletalMesh","","SKM_",""
SkeletalMeshLODSettings,"/Script/Engine.SkeletalMeshLODSettings","","","_LODSettings"
Skeleton,"/Script/Engine.Skeleton","","SK_",""
SlateBrush,"/Script/Engine.SlateBrushAsset","","SB_",""
SlateWidgetStyle,"/Script/SlateCore.SlateWidgetStyleAsset","","SWS_",""
SoundAttenuation,"/Script/Engine.SoundAttenuation","","ATT_",""
SoundClass,"/Script/Engine.SoundClass","","",""
SoundConcurrency,"/Script/Engine.SoundConcurrency","","","SC"
SoundCue,"/Script/Engine.SoundCue","","A","_Cue"
SoundMix,"/Script/Engine.SoundMix","","Mix_",""
SoundWave,"/Script/Engine.SoundWave","","A_",""
Sprite,"/Script/Paper2D.PaperSprite","","SPR_",""
StaticMesh,"/Script/Engine.StaticMesh","","SM_",""
StaticVectorField,"/Script/Engine.VectorFieldStatic","","VF_",""
SubstanceGraphInstance,"/Script/SubstanceCore.SubstanceGraphInstance","","SGI_",""
SubstanceInstanceFactory,"/Script/SubstanceCore.SubstanceInstanceFactory","","SIF_",""
SubsurfaceProfile,"/Script/Engine.SubsurfaceProfile","","SP_",""
Texture2D,"/Script/Engine.Texture2D","","T_",""
TextureCube,"/Script/Engine.TextureCube","","TC_",""
TextureLightProfile,"/Script/Engine.TextureLightProfile","","TLP_",""
TextureRenderTarget2D,"/Script/Engine.TextureRenderTarget2D","","RT_",""
TileMap,"/Script/Paper2D.PaperTileMap","","TM_",""
TileSet,"/Script/Paper2D.PaperTileSet","","TS_",""
TouchInterfaceSetup,"/Script/Engine.TouchInterface","","TI_",""
UserDefinedEnum,"/Script/Engine.UserDefinedEnum","","E_",""
UserDefinedStruct,"/Script/Engine.UserDefinedStruct","","S_",""
WidgetBlueprint,"/Script/UMGEditor.WidgetBlueprint","","WBP_",""
World,"/Script/Engine.World","","",""
Class,"/Script/CoreUObject.Class","","X",""
MoviePipelineQueue,"/Script/MovieRenderPipelineCore.MoviePipelineQueue","","MRPQ_",""
MoviePipelineShotConfig,"/Script/MovieRenderPipelineCore.MoviePipelineShotConfig","","","_MoviePipelineShotConfig"
MoviePipelinePrimaryConfig,"/Script/MovieRenderPipelineCore.MoviePipelinePrimaryConfig","","","_MoviePipelinePrimaryConfig"
